Country,ISO3,CPI score 2020,CPI score 2019,CPI score 2018,CPI score 2017,CPI score 2016,CPI score 2015,CPI score 2014,CPI Score 2013,CPI Score 2012
Denmark,DNK,88,87,88,88,90,91,92,91,90
New Zealand,NZL,88,87,87,89,90,91,91,91,90
Finland,FIN,85,86,85,85,89,90,89,89,90
Singapore,SGP,85,85,85,84,84,85,84,86,87
Sweden,SWE,85,85,85,84,88,89,87,89,88
Norway,NOR,84,84,84,85,85,88,86,86,85
Switzerland,CHE,85,85,85,85,86,86,86,85,86
Netherlands,NLD,82,82,82,82,83,84,83,83,84
Luxembourg,LUX,80,80,81,82,81,85,82,80,80
Germany,DEU,80,80,80,81,81,81,79,78,79
United Kingdom,GBR,77,77,80,82,81,81,78,76,74
Hong Kong,HKG,77,76,76,77,77,75,74,75,77
Canada,CAN,77,77,81,82,82,83,81,81,84
Austria,AUT,76,77,76,75,75,76,72,69,69
Estonia,EST,75,74,73,71,70,70,69,68,64
Iceland,ISL,75,78,76,77,78,79,79,78,82
Ireland,IRL,72,74,73,74,73,75,74,72,69
Australia,AUS,77,77,77,77,79,79,80,81,85
Belgium,BEL,76,75,75,75,77,77,76,75,75
Japan,JPN,74,73,73,73,72,75,76,74,74
Uruguay,URY,71,71,70,70,71,74,73,73,72
France,FRA,69,69,72,70,69,70,69,71,71
Seychelles,SYC,66,66,66,60,,55,55,54,52
United Arab Emirates,ARE,71,71,70,71,66,70,70,69,68
Bhutan,BTN,68,68,68,67,65,65,65,63,63
Taiwan,TWN,65,65,63,63,61,62,61,61,61
Chile,CHL,67,67,67,67,66,70,73,71,72
United States of America,USA,67,69,71,75,74,76,74,73,73
Barbados,BRB,64,62,68,68,61,,74,75,76
Bahamas,BHS,63,64,65,65,66,,71,71,71
Qatar,QAT,63,62,62,63,61,71,69,68,68
"Korea, South",KOR,61,59,57,54,53,54,55,55,56
Portugal,PRT,61,62,64,63,62,64,63,62,63
Spain,ESP,62,62,58,57,58,58,60,59,65
Lithuania,LTU,60,60,59,59,59,59,58,57,54
Israel,ISR,60,60,61,62,64,61,60,61,60
Saint Vincent and the Grenadines,VCT,59,59,58,58,60,,62,62,62
Latvia,LVA,57,56,58,58,57,56,55,53,49
Cabo Verde,CPV,58,58,57,55,59,55,57,58,60
Costa Rica,CRI,57,56,56,59,58,55,54,53,54
Slovenia,SVN,60,60,60,61,61,60,58,57,61
Poland,POL,56,58,60,60,62,63,61,60,58
Saint Lucia,LCA,56,55,55,55,60,,71,71,71
Italy,ITA,53,53,52,50,47,44,43,43,42
Fiji,FJI,,,,,,,,,
Botswana,BWA,60,61,61,61,60,63,63,64,65
Georgia,GEO,56,56,58,56,57,52,52,49,52
Dominica,DMA,55,55,57,57,59,,58,58,58
Czechia,CZE,54,56,59,57,55,56,51,48,49
Malta,MLT,53,54,54,56,55,60,55,56,57
Mauritius,MUS,53,52,51,50,54,53,54,52,57
Cyprus,CYP,57,58,59,57,55,61,63,63,66
Rwanda,RWA,54,53,56,55,54,54,49,53,53
Grenada,GRD,53,53,52,52,56,,,,
Saudi Arabia,SAU,53,53,49,49,46,52,49,46,44
Oman,OMN,54,52,52,44,45,45,45,47,47
Slovakia,SVK,49,50,50,50,51,51,50,47,46
Namibia,NAM,51,52,53,51,52,53,49,48,48
Greece,GRC,50,48,45,48,44,46,43,40,36
Armenia,ARM,49,42,35,35,33,35,37,36,34
Jordan,JOR,49,48,49,48,48,53,49,45,48
Malaysia,MYS,51,53,47,47,49,50,52,50,49
Croatia,HRV,47,47,48,49,49,51,48,48,46
Cuba,CUB,47,48,47,47,47,47,46,46,48
Montenegro,MNE,45,45,45,46,45,44,42,44,41
Sao Tome and Principe,STP,47,46,46,46,46,42,42,42,42
Romania,ROU,44,44,47,48,48,46,43,43,44
Vanuatu,VUT,43,46,46,43,,,,,
China,CHN,42,41,39,41,40,37,36,40,39
Jamaica,JAM,44,43,44,44,39,41,38,38,38
South Africa,ZAF,44,44,43,43,45,44,44,42,43
Tunisia,TUN,44,43,43,42,41,38,40,41,41
